Treatment,Count1,Count2,Yield,Protein,Oil
1,241,241,2568.9,35.4,19.6
1,241,249.6,2905.3,35.8,19.5
1,241,249.6,3186.4,36.2,19.3
2,395.9,482,2887.4,36,19
2,284,275.4,3388.9,36.3,19.4
2,292.7,309.9,3481.8,35.5,19.3
3,464.8,473.4,2836.1,35.6,19.5
3,421.8,456.2,3360.6,36.2,19.7
3,370.1,378.7,3569.2,36.4,19.1
4,413.2,447.6,2918.6,33.9,20
4,266.8,284,3441.8,34.8,19.2
4,387.3,387.3,3787.4,35.2,19.1
5,344.3,318.5,3070,34.5,19.5
5,378.7,404.6,3734.7,34.4,19.5
5,301.3,301.3,3552.7,35,19.4
6,378.7,395.9,3225.1,35,19.7
6,499.2,525.1,3706,34.3,19.6
6,525.1,568.1,3523.3,34.3,19.6
7,387.3,387.3,3346.5,33.3,19.6
7,318.5,327.1,3704.1,32.8,19.8
7,378.7,404.6,3653.9,33.5,19.4
8,404.6,421.8,3174.8,32.6,20
8,370.1,387.3,3698.4,33.1,19.2
8,404.6,404.6,3516.2,33.4,19
9,361.5,370.1,3135.7,32.9,19.6
9,421.8,421.8,3765.9,32.9,19.8
9,215.2,223.8,3674.5,33.1,19.7
10,215.2,206.6,3051.2,36.4,19.6
10,327.1,318.5,3576.9,35.4,19
10,344.3,361.5,3538.1,35.6,19.1
11,249.6,266.8,3089.1,35.4,20.1
11,395.9,387.3,3386.9,35.6,19.3
11,318.5,335.7,3289,35.2,19.7
12,439,447.6,3036.8,36.1,19.7
12,447.6,473.4,3619,35.8,19.1
12,404.6,413.2,3662,36.6,19.6
13,430.4,439,3237.9,36,19.1
13,645.6,662.8,3714.6,36.1,19.4
13,413.2,413.2,3688.8,36.5,19
14,464.8,482,3638.3,35.5,19.5
14,284,292.7,3670.6,35,19.9
14,309.9,318.5,3150.8,35.4,19.3
15,378.7,352.9,3426.6,35.3,19.7
15,301.3,309.9,3116.9,35.6,19.4
15,421.8,447.6,3624.7,36.6,18.9
16,361.5,344.3,3559,35.7,19.9
16,439,473.4,3527.8,35.2,19.5
16,370.1,378.7,3373.3,35.2,19.5
17,456.2,473.4,3046.2,35.5,19.6
17,352.9,335.7,3699,35.3,19.5
17,387.3,361.5,3386.1,36,19.1
18,395.9,421.8,3164.8,35.1,19.6
18,421.8,447.6,3965.9,35.5,19.2
18,361.5,344.3,3622.3,36.2,19.1
